lead_time,risk_signal,shap_feature_group,condition_example,recommended_action,responsible_unit,urgency_level,mean_abs_shap
T+1,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,6.131420612335205
T+1,복합 환경 신호,DO(㎎/L),DO(㎎/L)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.7888007164001465
T+1,조류·Chl-a 선행 신호,log_cyano_lag14,log_cyano_lag14가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.3756001591682434
T+1,조류·Chl-a 선행 신호,log_cyano_lag1,log_cyano_lag1가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.3213561475276947
T+1,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.25949227809906006
T+1,조류·Chl-a 선행 신호,hoenam_log_cyano_lag14,hoenam_log_cyano_lag14가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.2542779743671417
T+1,조류·Chl-a 선행 신호,log_cyano_lag3,log_cyano_lag3가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.23469585180282593
T+1,복합 환경 신호,합계 일조시간(hr),합계 일조시간(hr)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.20807525515556335
T+1,복합 환경 신호,취수량2,취수량2가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.19075532257556915
T+1,복합 환경 신호,예년강수량,예년강수량가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.16039592027664185
T+3,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,6.860138994322631
T+3,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,1.378757110577197
T+3,조류·Chl-a 선행 신호,hoenam_log_cyano_lag10,hoenam_log_cyano_lag10가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.3349455622192013
T+3,조류·Chl-a 선행 신호,log_cyano_lag10,log_cyano_lag10가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.25932798916108885
T+3,복합 환경 신호,최저기온(°C),최저기온(°C)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.22695741164639935
T+3,복합 환경 신호,pH,pH가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.2171685761701766
T+3,조류·Chl-a 선행 신호,log_cyano_lag14,log_cyano_lag14가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.20589065953331195
T+3,조류·Chl-a 선행 신호,log_cyano_lag3,log_cyano_lag3가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.19946499000703932
T+3,복합 환경 신호,평균기온(°C),평균기온(°C)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.191054065074756
T+3,복합 환경 신호,탁도,탁도가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.1844229887765365
T+7,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,3.62326679660888
T+7,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,1.0096534352390114
T+7,고온/수온 지속 신호,water_temp_lag7,water_temp_lag7가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.9071954895819204
T+7,복합 환경 신호,탁도,탁도가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.8039238123403952
T+7,계절·일사 신호,month_sin,month_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.5313009305646562
T+7,조류·Chl-a 선행 신호,log_cyano_roll7_max,log_cyano_roll7_max가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.4375255445729817
T+7,조류·Chl-a 선행 신호,log_cyano_lag10,log_cyano_lag10가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.3081286896788786
T+7,조류·Chl-a 선행 신호,log_cyano_lag1,log_cyano_lag1가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.29933425588117185
T+7,계절·일사 신호,doy_cos,doy_cos가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.2723415844775295
T+7,복합 환경 신호,dayofyear,dayofyear가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.23824823598187986
T+10,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,1.8968064785003662
T+10,계절·일사 신호,month_sin,month_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,1.10519540309906
T+10,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.6778051853179932
T+10,복합 환경 신호,탁도,탁도가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.47492867708206177
T+10,계절·일사 신호,doy_cos,doy_cos가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.34064847230911255
T+10,복합 환경 신호,최저기온(°C),최저기온(°C)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.2981008291244507
